Comentário;Classificação
Aprendi mto coisa com esse vídeo, agr estou mais confiante que não vou conquistar ngm;Elogio
Esses assuntos são legais de mais, porém eu tenho um medo de me aprofundar nisso, e ficar julgando as pessoas ao meu redor direto. Isso acontece com você por acaso ?;Elogio e Critica
Você é bem profissional na área mesmo. A maioria dos homens que falam sobre o assunto sempre ficam apenas nos gestos femininos, mas nesse vídeo você foi mais completo, falou sobre os homens também. Ótimo vídeo!;Elogio
Seduzir é fácil, difícil é acreditar em AMOR.;Opiniao
Se eu ver um cara desconhecido olhando fixamente pra mim, com os pes na minha direção, já saio logo correndo pq sei que é ladrão rsrsrsrs.;Opiniao
Às vezes o medo é de dar certo!;Opiniao
"""Eu tentei 100 vezes, eu errei 100 vezes mas na 101 vez eu consegui"" _ Albert Einstein";Opiniao
Sou muito perfeccionista,começo as coisas empolgada e de repente quando algo não saí como espero eu desisto do que estou fazendo.Isso é péssimo pois nada nunca é terminado por mais que eu queira muito terminar.;Opiniao
Não preciso ser perfeito. Preciso ser satisfatório !;Opiniao
Ótimo video,vc é fod*! Além de análises de videos,trás mentalidade e outros conhecimentos! Like;Elogio
"Caramba… nunca tinha parado pra pensar nessa questão da ""recompensa escondida"". Fico muito grato por você compartilhar essa informação com a gente";Elogio
Vlw Vitor. Tava precisando desses conselhos!;Elogio
Nunca me interessei em assistir Sherlock, mas depois desse vídeo me deu muita vontade.;Opiniao
Não entendi nada do vídeo pq não consegui focar;Critica
Faz um vídeo analisando o depoimento de Tiririca;Sugestao
Ótimo vídeo!!! Sherlock, Melhor série que já assisti até hoje!;Elogio
"Vitor, me tira uma dúvida, sempre achei que ""o mesmo"" não é pronome, portanto não posso referenciar um sujeito. Estou errado o tempo todo? Kkkkk";Duvida
Se um dia for possivel, gostaria de assistir uma análise do personagem Jim Moriarty sobre suas reações e expressões.;Sugestao
Incrível! Sherlock é um génio, a obra parece ser muito boa e interessante, com certeza irei assistir a série e procurar sobre. As 'dicas' do detetive Sherlock é realmente incrivel!;Elogio
Vou aplicar essas dicas! A propósito a serie Sherlock é simplismente incrível!;Elogio
Muito bom esse vídeo Victor! Eu sou muito fã do Sherlock Holmes ele é mais do que um homem, ele é um brilhante homem!;Elogio
Excelente vídeo. Vou observar mais esse seriado. A propósito, calma...fala muito rápido. Respire;Elogio e Sugestao
Simplesmente incrível!!! Sempre achei que fosse impossível ter toda essa atenção, mas agora já sei exatamente o que fazer!!;Elogio
Nossa Vitor quando começo a ver seus vídeos não consigo parar. Estou viciado;Opiniao e Elogio
"Mudando o foco aqui. Se eu ficasse na frente desse cara, fugiria com as mãos na cabeça, pensando "" socorro, ele está lendo meus pensamentos"" kkk";Opiniao
São a favor dessa exposição, mas são contra a propaganda para crianças, aí eu te pergunto, se eles acham tão natural esse tipo de exposição, qual o sentido de rotular a faixa etária dos programas?;Opiniao
Assistir esse dia. Sentir nojo dos atores . Meus parabéns vai para está senhora, q não mediu palavras para defender a essência de valores;Opiniao
Faz um vídeo mostrando a família do Michael Jackson no enterro dele, muita gente diz que foi uma farsa e que era tudo planejado, acho que seria interessante ver se as expressões faciais condizem com a situação do problema em si;Sugestao
Esse pessoal da Globo é um lixo;Opiniao
"Obrigado, Da. Regina... Só de deixar esses cretinos com ""raivinha"" e gaguejando já foi uma vitória pra todos nós... Viva a Da. Regina";Opiniao
Pior programa da globosta,de 2019 não passaras;Opiniao
A psicopatia ou a sociopatia têm expressões q podem confundir um estudioso como vc?;Duvida
Essa atriz deveria colocar a filha dela tocando nos homens pelados a gente tem nojo dessa putaria;Odio
Gostei da coragem da senhora em expor sua opinião. Mostra que é uma pessoa esclarecida, ética, honesta e com opinião formada. Muitos teriam medo ou receio de se contrapor a tantos famosos.;Opiniao
Não vejo porra nenhuma de arte nisso !!!;Odio
Essa senhora mitou contra esses atores de merda da globo!;Opiniao
Melhor análise até agora!!! Parabéns;Elogio
Eu parei de assistir a globo no momento em que o único programa bom que era a tv Globinho saiu do ar.;Opiniao
A rede Globo tem que ser extinta desse país e do mundo. Um canal lixo! Parabéns pelo vídeo , é incrível;Elogio e Odio
Aí a gente vê a que ponto onde é humano chega;Opiniao
Ela não entendeu, mesmo depois do Danilo ter desenhado e explicado, e ficou ainda insistindo na burrice!!;Opiniao
Gente, não é possível que as feministas sejam tão mente fechada assim... Só faltou o Danilo ter que desenhar, pois o orgulho dela em insistir na burrice foi demais.;Critica
A hipocrisia da esquerda escancarou nesse caso do Gentili,simples assim;Critica
Se esta mulher é educadora, o meu cachorro e cientista.;Critica
Sou negro, nordestino, com muito orgulho, e não dou autorga, para esses ativistas de merda da esquerda me representar.;Odio
Gente, próxima eleição p deputado temos que banir esses vermes esquerdistas de Brasília.;Odio
Esse país é tão democrático que uma mulher com retardo mental grave pode ocupar um cargo público.;Critica
Ela é professora por isso a educação no Brasil está uma merda;Critica
Outra nojenta! A voz nos enrrita. Má influência, é lamentável essas mulheres chatas, irritantes, sem qualquer atração.;Critica
Esses vermes do PSOL deveriam ser extintos da política !!!;Odio
Todos ministros do Bolsonaro, são excelentes. Parabéns.;Critica
Esse jornalista é um sem educação e com falta de profissionalismo, isso sim!;Opiniao
Misericórdia, essas análises corporais deixam a pessoa mais nua do que se ela estivesse sem roupa.;Opiniao
Gente q entrevistador mais antipático.... tinha que ser da foice de São Paulo Ótima análise Vitor;Opiniao e Elogio
Agora a conclusão politicamente incorreta: o entrevistador é um merda e deveria reavaliar a profissão que escolheu;Critica
O Danilo e o Fabrício tiveram é muita paciência, porque não tem justiça um intrevistador tão arrogante assim;Opiniao
resumindo, tava todo mundo 100% PUTASSO;Opiniao
"Imagina o currículo desse ""jornalista"" Eu faria muito melhor que ele, até porque não sou um retardado!";Critica
Ele é uma mistura de kiko e Mateus solano Kk mas é bonito e tem a voz bonita;Opiniao
Os psicopatas fingem choro. E enganam quase todo mundo. São muito sociáveis.;Opiniao
É bonito é gostoso tem ouro mas nenhum nenhum bombom desse tamanho vale 10 reais cada.;Opiniao
Com 186,00 eu compro um kit festa com bolo, docinhos e salgadinhos;Opiniao
